名前,グレード,レベル,スキル名,スキルLv
吼剣【地咬】,5,1,ジャスト巧撃,1
吼剣【地咬】,6,1,ジャスト巧撃,2
吼剣【地咬】,7,1,ジャスト巧撃,2
吼剣【地咬】,8,1,ジャスト巧撃,3
吼剣【地咬】,9,1,ジャスト巧撃,3
吼剣【地咬】,10,1,ジャスト巧撃,3
吼剣【地咬】,10,5,ジャスト巧撃,3
レックスロアグリーヴ,5,1,攻撃・境地,1
レックスロアグリーヴ,6,1,攻撃・境地,1
レックスロアグリーヴ,6,1,ジャスト巧撃【持続】,1
レックスロアグリーヴ,7,1,攻撃・境地,1
レックスロアグリーヴ,7,1,ジャスト巧撃【持続】,1
レックスロアグリーヴ,8,1,攻撃・境地,1
レックスロアグリーヴ,8,1,ジャスト巧撃【持続】,2
レックスロアグリーヴ,9,1,攻撃・境地,1
レックスロアグリーヴ,9,1,ジャスト巧撃【持続】,2
レックスロアグリーヴ,10,1,攻撃・境地,1
レックスロアグリーヴ,10,1,ジャスト巧撃【持続】,2
エスペラホルン,6,1,ロックオン,1
エスペラホルン,7,1,ロックオン,1
エスペラホルン,8,1,ロックオン,1
エスペラホルン,9,1,ロックオン,1
エスペラホルン,10,1,ロックオン,1
エスペラホルン,10,5,ロックオン,1
ホープホルン,4,1,ロックオン,1
ホープホルン,5,1,ロックオン,1
ホープホルン,6,1,ロックオン,1
ホープホルン,7,1,ロックオン,1
ホープホルン,8,1,ロックオン,1
ホープホルン,9,1,ロックオン,1
ホープホルン,10,1,ロックオン,1
ホープホルン,10,5,ロックオン,1
エスペラロッド,6,1,ロックオン,1
エスペラロッド,7,1,ロックオン,1
エスペラロッド,8,1,ロックオン,1
エスペラロッド,9,1,ロックオン,1
エスペラロッド,10,1,ロックオン,1
エスペラロッド,10,5,ロックオン,1
ホープロッド,4,1,ロックオン,1
ホープロッド,5,1,ロックオン,1
ホープロッド,6,1,ロックオン,1
ホープロッド,7,1,ロックオン,1
ホープロッド,8,1,ロックオン,1
ホープロッド,9,1,ロックオン,1
ホープロッド,10,1,ロックオン,1
ホープロッド,10,5,ロックオン,1
ブレイドエッジ改,8,1,追撃,1
ブレイドエッジ改,9,1,追撃,1
ブレイドエッジ改,10,1,追撃,1
ブレイドエッジ改,10,5,追撃,1
ブレイドエッジ,8,1,追撃,1
ブレイドエッジ,9,1,追撃,1
ブレイドエッジ,10,1,追撃,1
ブレイドエッジ,10,5,追撃,1
ギザミブレイド改,8,1,追撃,1
ギザミブレイド改,9,1,追撃,1
ギザミブレイド改,10,1,追撃,1
ギザミブレイド改,10,5,追撃,1
ギザミブレイド,8,1,追撃,1
ギザミブレイド,9,1,追撃,1
ギザミブレイド,10,1,追撃,1
ギザミブレイド,10,5,追撃,1
ギザミカッター改,8,1,追撃,1
ギザミカッター改,9,1,追撃,1
ギザミカッター改,10,1,追撃,1
ギザミカッター改,10,5,追撃,1
ギザミカッター,8,1,追撃,1
ギザミカッター,9,1,追撃,1
ギザミカッター,10,1,追撃,1
ギザミカッター,10,5,追撃,1
ギザミヘッドアクス改,8,1,追撃,1
ギザミヘッドアクス改,9,1,追撃,1
ギザミヘッドアクス改,10,1,追撃,1
ギザミヘッドアクス改,10,5,追撃,1
ギザミヘッドアクス,8,1,追撃,1
ギザミヘッドアクス,9,1,追撃,1
ギザミヘッドアクス,10,1,追撃,1
ギザミヘッドアクス,10,5,追撃,1
ギザミスティンガー改,8,1,追撃,1
ギザミスティンガー改,9,1,追撃,1
ギザミスティンガー改,10,1,追撃,1
ギザミスティンガー改,10,5,追撃,1
ギザミスティンガー,8,1,追撃,1
ギザミスティンガー,9,1,追撃,1
ギザミスティンガー,10,1,追撃,1
ギザミスティンガー,10,5,追撃,1
ブレイドガード改,8,1,追撃,1
ブレイドガード改,9,1,追撃,1
ブレイドガード改,10,1,追撃,1
ブレイドガード改,10,5,追撃,1
ブレイドガード,8,1,追撃,1
ブレイドガード,9,1,追撃,1
ブレイドガード,10,1,追撃,1
ブレイドガード,10,5,追撃,1
ピアースクラブ改,8,1,追撃,1
ピアースクラブ改,9,1,追撃,1
ピアースクラブ改,10,1,追撃,1
ピアースクラブ改,10,5,追撃,1
ピアースクラブ,8,1,追撃,1
ピアースクラブ,9,1,追撃,1
ピアースクラブ,10,1,追撃,1
ピアースクラブ,10,5,追撃,1
ブルーブレイドボウ改,8,1,追撃,1
ブルーブレイドボウ改,9,1,追撃,1
ブルーブレイドボウ改,10,1,追撃,1
ブルーブレイドボウ改,10,5,追撃,1
