名前,グレード,レベル,攻撃力,属性値,防御力
エスペラホルン,6,1,651,,
エスペラホルン,7,1,849,,
エスペラホルン,8,1,1107,,
エスペラホルン,9,1,1442,,
エスペラホルン,10,1,1878,,
エスペラホルン,10,5,2251,,
ホープホルン,3,1,239,,
ホープホルン,4,1,347,,
ホープホルン,5,1,500,,
ホープホルン,6,1,651,,
ホープホルン,7,1,849,,
ホープホルン,8,1,1107,,
ホープホルン,9,1,1442,,
ホープホルン,10,1,1878,,
ホープホルン,10,5,2251,,
エスペラロッド,6,1,651,,
エスペラロッド,7,1,849,,
エスペラロッド,8,1,1107,,
エスペラロッド,9,1,1442,,
エスペラロッド,10,1,1878,,
エスペラロッド,10,5,2251,,
王剣シツライ,5,1,361,232,
王剣シツライ,6,1,461,320,
王剣シツライ,7,1,589,443,
王剣シツライ,8,1,751,608,
王剣シツライ,9,1,958,835,
王剣シツライ,10,1,1221,1142,
王剣シツライ,10,5,1463,1420,
吼剣【地咬】,5,1,564,,
吼剣【地咬】,6,1,741,,
吼剣【地咬】,7,1,973,,
吼剣【地咬】,8,1,1277,,
吼剣【地咬】,9,1,1675,,
吼剣【地咬】,10,1,2198,,
吼剣【地咬】,10,5,2633,,
ホープロッド,3,1,239,,
ホープロッド,4,1,347,,
ホープロッド,5,1,500,,
ホープロッド,6,1,651,,
ホープロッド,7,1,849,,
ホープロッド,8,1,1107,,
ホープロッド,9,1,1442,,
ホープロッド,10,1,1878,,
ホープロッド,10,5,2251,,
ブレイドエッジ改,6,1,576,182,
ブレイドエッジ改,7,1,753,248,
ブレイドエッジ改,8,1,985,334,
ブレイドエッジ改,9,1,1287,451,
ブレイドエッジ改,10,1,1682,605,
ブレイドエッジ改,10,5,2015,752,
ブレイドエッジ,4,1,304,88,
ブレイドエッジ,5,1,440,134,
ブレイドエッジ,6,1,576,182,
ブレイドエッジ,7,1,753,248,
ブレイドエッジ,8,1,985,334,
ブレイドエッジ,9,1,1287,451,
ブレイドエッジ,10,1,1682,605,
ブレイドエッジ,10,5,2015,752,
ギザミブレイド改,6,1,576,182,
ギザミブレイド改,7,1,753,248,
ギザミブレイド改,8,1,985,334,
ギザミブレイド改,9,1,1287,451,
ギザミブレイド改,10,1,1682,605,
ギザミブレイド改,10,5,2015,752,
ギザミブレイド,4,1,304,88,
ギザミブレイド,5,1,440,134,
ギザミブレイド,6,1,576,182,
ギザミブレイド,7,1,753,248,
ギザミブレイド,8,1,985,334,
ギザミブレイド,9,1,1287,451,
ギザミブレイド,10,1,1682,605,
ギザミブレイド,10,5,2015,752,
ギザミカッター改,6,1,576,182,
ギザミカッター改,7,1,753,248,
ギザミカッター改,8,1,985,334,
ギザミカッター改,9,1,1287,451,
ギザミカッター改,10,1,1682,605,
ギザミカッター改,10,5,2015,752,
ギザミカッター,4,1,304,88,
ギザミカッター,5,1,440,134,
ギザミカッター,6,1,576,182,
ギザミカッター,7,1,753,248,
ギザミカッター,8,1,985,334,
ギザミカッター,9,1,1287,451,
ギザミカッター,10,1,1682,605,
ギザミカッター,10,5,2015,752,
ギザミヘッドアクス改,6,1,576,182,
ギザミヘッドアクス改,7,1,753,248,
ギザミヘッドアクス改,8,1,985,334,
ギザミヘッドアクス改,9,1,1287,451,
ギザミヘッドアクス改,10,1,1682,605,
ギザミヘッドアクス改,10,5,2015,752,
ギザミヘッドアクス,4,1,304,88,
ギザミヘッドアクス,5,1,440,134,
ギザミヘッドアクス,6,1,576,182,
ギザミヘッドアクス,7,1,753,248,
ギザミヘッドアクス,8,1,985,334,
ギザミヘッドアクス,9,1,1287,451,
ギザミヘッドアクス,10,1,1682,605,
ギザミヘッドアクス,10,5,2015,752,
ギザミスティンガー改,6,1,576,182,
ギザミスティンガー改,7,1,753,248,
ギザミスティンガー改,8,1,985,334,
ギザミスティンガー改,9,1,1287,451,
ギザミスティンガー改,10,1,1682,605,
ギザミスティンガー改,10,5,2015,752,
ギザミスティンガー,4,1,304,88,
ギザミスティンガー,5,1,440,134,
ギザミスティンガー,6,1,576,182,
ギザミスティンガー,7,1,753,248,
ギザミスティンガー,8,1,985,334,
ギザミスティンガー,9,1,1287,451,
ギザミスティンガー,10,1,1682,605,
ギザミスティンガー,10,5,2015,752,
ブレイドガード改,6,1,576,182,
ブレイドガード改,7,1,753,248,
ブレイドガード改,8,1,985,334,
ブレイドガード改,9,1,1287,451,
ブレイドガード改,10,1,1682,605,
ブレイドガード改,10,5,2015,752,
ブレイドガード,4,1,304,88,
ブレイドガード,5,1,440,134,
ブレイドガード,6,1,576,182,
ブレイドガード,7,1,753,248,
ブレイドガード,8,1,985,334,
ブレイドガード,9,1,1287,451,
ブレイドガード,10,1,1682,605,
ブレイドガード,10,5,2015,752,
ピアースクラブ改,6,1,576,182,
ピアースクラブ改,7,1,753,248,
ピアースクラブ改,8,1,985,334,
ピアースクラブ改,9,1,1287,451,
ピアースクラブ改,10,1,1682,605,
ピアースクラブ改,10,5,2015,752,
ピアースクラブ,4,1,304,88,
ピアースクラブ,5,1,440,134,
ピアースクラブ,6,1,576,182,
ピアースクラブ,7,1,753,248,
ピアースクラブ,8,1,985,334,
ピアースクラブ,9,1,1287,451,
ピアースクラブ,10,1,1682,605,
ピアースクラブ,10,5,2015,752,
ブルーブレイドボウ改,6,1,576,182,
ブルーブレイドボウ改,7,1,753,248,
ブルーブレイドボウ改,8,1,985,334,
ブルーブレイドボウ改,9,1,1287,451,
ブルーブレイドボウ改,10,1,1682,605,
ブルーブレイドボウ改,10,5,2015,752,
ブルーブレイドボウ,4,1,304,88,
ブルーブレイドボウ,5,1,440,134,
ブルーブレイドボウ,6,1,576,182,
ブルーブレイドボウ,7,1,753,248,
ブルーブレイドボウ,8,1,985,334,
ブルーブレイドボウ,9,1,1287,451,
ブルーブレイドボウ,10,1,1682,605,
ブルーブレイドボウ,10,5,2015,752,
ナーブアルファルド改,6,1,660,,
ナーブアルファルド改,7,1,866,,
ナーブアルファルド改,8,1,1135,,
ナーブアルファルド改,9,1,1487,,
ナーブアルファルド改,10,1,1949,,
ナーブアルファルド改,10,5,2335,,
ナーブアルファルド,5,1,503,,
ナーブアルファルド,6,1,660,,
