シリーズ,防具名,グレード,レベル,ゼニー,素材1,個数1,素材2,個数2,素材3,個数3,素材4,個数4
レザー,レザーヘッド,1,1,0,,,,,,,,
レザー,レザーヘッド,1,2,20,鉄鉱石,2,,,,,,
レザー,レザーヘッド,1,3,30,鉄鉱石,2,,,,,,
レザー,レザーヘッド,1,4,40,鉄鉱石,2,,,,,,
レザー,レザーヘッド,1,5,50,鉄鉱石,2,,,,,,
レザー,レザーヘッド,2,1,300,鉄鉱石,3,,,,,,
レザー,レザーヘッド,2,2,100,鉄鉱石,3,翼竜の皮,2,,,,
レザー,レザーヘッド,2,3,150,鉄鉱石,3,不死虫,2,,,,
レザー,レザーヘッド,2,4,200,鉄鉱石,3,翼竜の皮,2,,,,
レザー,レザーヘッド,2,5,250,大地の結晶,5,鉄鉱石,3,,,,
レザー,レザーヘッド,3,1,600,ドラグライト鉱石,3,マカライト鉱石,6,鉄鉱石,6,,
レザー,レザーヘッド,3,2,200,鉄鉱石,6,翼竜の皮,6,,,,
レザー,レザーヘッド,3,3,300,鉄鉱石,6,不死虫,3,,,,
レザー,レザーヘッド,3,4,400,鉄鉱石,6,翼竜の皮,6,,,,
レザー,レザーヘッド,3,5,500,大地の結晶,10,鉄鉱石,6,,,,
レザー,レザーヘッド,4,1,900,ドラグライト鉱石,4,マカライト鉱石,10,鉄鉱石,9,,
レザー,レザーヘッド,4,2,300,翼竜の皮,12,鉄鉱石,9,,,,
レザー,レザーヘッド,4,3,450,鉄鉱石,9,不死虫,4,,,,
レザー,レザーヘッド,4,4,600,翼竜の皮,12,鉄鉱石,9,,,,
レザー,レザーヘッド,4,5,750,大地の結晶,15,鉄鉱石,9,,,,
レザー,レザーヘッド,5,1,1500,ドラグライト鉱石,6,マカライト鉱石,15,鉄鉱石,12,,
レザー,レザーヘッド,5,2,500,翼竜の皮,24,鉄鉱石,12,,,,
レザー,レザーヘッド,5,3,750,鉄鉱石,12,不死虫,10,,,,
レザー,レザーヘッド,5,4,1000,翼竜の皮,24,鉄鉱石,12,,,,
レザー,レザーヘッド,5,5,1250,大地の結晶,20,鉄鉱石,12,,,,
レザー,レザーヘッド,6,1,3000,ドラグライト鉱石,15,防具精錬材,1,マカライト鉱石,30,鉄鉱石,21
レザー,レザーヘッド,6,2,1000,翼竜の皮,44,鉄鉱石,21,,,,
レザー,レザーヘッド,6,3,1500,鉄鉱石,21,不死虫,20,,,,
レザー,レザーヘッド,6,4,2000,翼竜の皮,44,鉄鉱石,21,,,,
レザー,レザーヘッド,6,5,2500,大地の結晶,30,鉄鉱石,21,,,,
レザー,レザーヘッド,7,1,6000,ドラグライト鉱石,20,防具精錬材,3,マカライト鉱石,40,鉄鉱石,28
レザー,レザーヘッド,7,2,2000,翼竜の皮,50,鉄鉱石,28,,,,
レザー,レザーヘッド,7,3,3000,不死虫,30,鉄鉱石,28,,,,
レザー,レザーヘッド,7,4,4000,翼竜の皮,50,鉄鉱石,28,,,,
レザー,レザーヘッド,7,5,5000,大地の結晶,40,鉄鉱石,28,,,,
レザー,レザーヘッド,8,1,12000,竜玉のかけら,2,ドラグライト鉱石,30,防具精錬材,5,鉄鉱石,35
レザー,レザーヘッド,8,2,4000,翼竜の皮,60,鉄鉱石,35,,,,
レザー,レザーヘッド,8,3,6000,竜玉のかけら,2,マカライト鉱石,50,不死虫,40,鉄鉱石,35
レザー,レザーヘッド,8,4,8000,翼竜の皮,60,鉄鉱石,35,,,,
レザー,レザーヘッド,8,5,10000,竜玉のかけら,2,大地の結晶,2,鉄鉱石,70,,
レザー,レザーヘッド,9,1,30000,竜玉のかけら,3,ドラグライト鉱石,40,防具精錬材,7,鉄鉱石,35
レザー,レザーヘッド,9,2,10000,翼竜の皮,70,鉄鉱石,35,,,,
レザー,レザーヘッド,9,3,15000,竜玉のかけら,3,マカライト鉱石,60,不死虫,50,鉄鉱石,35
レザー,レザーヘッド,9,4,20000,翼竜の皮,70,鉄鉱石,35,,,,
レザー,レザーヘッド,9,5,25000,竜玉のかけら,3,大地の結晶,60,鉄鉱石,105,,
レザー,レザーヘッド,10,1,75000,竜玉のかけら,5,ドラグライト鉱石,50,防具精錬材,9,鉄鉱石,35
レザー,レザーヘッド,10,2,25000,翼竜の皮,80,鉄鉱石,35,,,,
レザー,レザーヘッド,10,3,37500,竜玉のかけら,10,マカライト鉱石,70,不死虫,60,鉄鉱石,35
レザー,レザーヘッド,10,4,50000,翼竜の皮,80,鉄鉱石,35,,,,
レザー,レザーヘッド,10,5,62500,竜玉のかけら,15,大地の結晶,70,鉄鉱石,140,,
レザー,レザーベスト,1,1,0,,,,,,,,
レザー,レザーベスト,1,2,20,鉄鉱石,2,,,,,,
レザー,レザーベスト,1,3,30,鉄鉱石,2,,,,,,
レザー,レザーベスト,1,4,40,鉄鉱石,2,,,,,,
レザー,レザーベスト,1,5,50,鉄鉱石,2,,,,,,
レザー,レザーベスト,2,1,300,鉄鉱石,3,,,,,,
レザー,レザーベスト,2,2,100,鉄鉱石,3,翼竜の皮,2,,,,
レザー,レザーベスト,2,3,150,鉄鉱石,3,不死虫,2,,,,
レザー,レザーベスト,2,4,200,鉄鉱石,3,翼竜の皮,2,,,,
レザー,レザーベスト,2,5,250,大地の結晶,5,鉄鉱石,3,,,,
レザー,レザーベスト,3,1,600,ドラグライト鉱石,3,マカライト鉱石,6,鉄鉱石,6,,
レザー,レザーベスト,3,2,200,鉄鉱石,6,翼竜の皮,6,,,,
レザー,レザーベスト,3,3,300,鉄鉱石,6,不死虫,3,,,,
レザー,レザーベスト,3,4,400,鉄鉱石,6,翼竜の皮,6,,,,
レザー,レザーベスト,3,5,500,大地の結晶,10,鉄鉱石,6,,,,
レザー,レザーベスト,4,1,900,ドラグライト鉱石,4,マカライト鉱石,10,鉄鉱石,9,,
レザー,レザーベスト,4,2,300,翼竜の皮,12,鉄鉱石,9,,,,
レザー,レザーベスト,4,3,450,鉄鉱石,9,不死虫,4,,,,
レザー,レザーベスト,4,4,600,翼竜の皮,12,鉄鉱石,9,,,,
レザー,レザーベスト,4,5,750,大地の結晶,15,鉄鉱石,9,,,,
レザー,レザーベスト,5,1,1500,ドラグライト鉱石,6,マカライト鉱石,15,鉄鉱石,12,,
レザー,レザーベスト,5,2,500,翼竜の皮,24,鉄鉱石,12,,,,
レザー,レザーベスト,5,3,750,鉄鉱石,12,不死虫,10,,,,
レザー,レザーベスト,5,4,1000,翼竜の皮,24,鉄鉱石,12,,,,
レザー,レザーベスト,5,5,1250,大地の結晶,20,鉄鉱石,12,,,,
レザー,レザーベスト,6,1,3000,ドラグライト鉱石,15,防具精錬材,1,マカライト鉱石,30,鉄鉱石,21
レザー,レザーベスト,6,2,1000,翼竜の皮,44,鉄鉱石,21,,,,
レザー,レザーベスト,6,3,1500,鉄鉱石,21,不死虫,20,,,,
レザー,レザーベスト,6,4,2000,翼竜の皮,44,鉄鉱石,21,,,,
レザー,レザーベスト,6,5,2500,大地の結晶,30,鉄鉱石,21,,,,
レザー,レザーベスト,7,1,6000,ドラグライト鉱石,20,防具精錬材,3,マカライト鉱石,40,鉄鉱石,28
レザー,レザーベスト,7,2,2000,翼竜の皮,50,鉄鉱石,28,,,,
レザー,レザーベスト,7,3,3000,不死虫,30,鉄鉱石,28,,,,
レザー,レザーベスト,7,4,4000,翼竜の皮,50,鉄鉱石,28,,,,
レザー,レザーベスト,7,5,5000,大地の結晶,40,鉄鉱石,28,,,,
レザー,レザーベスト,8,1,12000,竜玉のかけら,2,ドラグライト鉱石,30,防具精錬材,5,鉄鉱石,35
レザー,レザーベスト,8,2,4000,翼竜の皮,60,鉄鉱石,35,,,,
レザー,レザーベスト,8,3,6000,竜玉のかけら,2,マカライト鉱石,50,不死虫,40,鉄鉱石,35
レザー,レザーベスト,8,4,8000,翼竜の皮,60,鉄鉱石,35,,,,
レザー,レザーベスト,8,5,10000,竜玉のかけら,2,大地の結晶,2,鉄鉱石,70,,
レザー,レザーベスト,9,1,30000,竜玉のかけら,3,ドラグライト鉱石,40,防具精錬材,7,鉄鉱石,35
レザー,レザーベスト,9,2,10000,翼竜の皮,70,鉄鉱石,35,,,,
レザー,レザーベスト,9,3,15000,竜玉のかけら,3,マカライト鉱石,60,不死虫,50,鉄鉱石,35
レザー,レザーベスト,9,4,20000,翼竜の皮,70,鉄鉱石,35,,,,
レザー,レザーベスト,9,5,25000,竜玉のかけら,3,大地の結晶,60,鉄鉱石,105,,
レザー,レザーベスト,10,1,75000,竜玉のかけら,5,ドラグライト鉱石,50,防具精錬材,9,鉄鉱石,35
レザー,レザーベスト,10,2,25000,翼竜の皮,80,鉄鉱石,35,,,,
レザー,レザーベスト,10,3,37500,竜玉のかけら,10,マカライト鉱石,70,不死虫,60,鉄鉱石,35
レザー,レザーベスト,10,4,50000,翼竜の皮,80,鉄鉱石,35,,,,
レザー,レザーベスト,10,5,62500,竜玉のかけら,15,大地の結晶,70,鉄鉱石,140,,
レザー,レザーグラブ,1,1,0,,,,,,,,
レザー,レザーグラブ,1,2,20,鉄鉱石,2,,,,,,
レザー,レザーグラブ,1,3,30,鉄鉱石,2,,,,,,
レザー,レザーグラブ,1,4,40,鉄鉱石,2,,,,,,
レザー,レザーグラブ,1,5,50,鉄鉱石,2,,,,,,
レザー,レザーグラブ,2,1,300,鉄鉱石,3,,,,,,
レザー,レザーグラブ,2,2,100,鉄鉱石,3,翼竜の皮,2,,,,
レザー,レザーグラブ,2,3,150,鉄鉱石,3,不死虫,2,,,,
レザー,レザーグラブ,2,4,200,鉄鉱石,3,翼竜の皮,2,,,,
レザー,レザーグラブ,2,5,250,大地の結晶,5,鉄鉱石,3,,,,
レザー,レザーグラブ,3,1,600,ドラグライト鉱石,3,マカライト鉱石,6,鉄鉱石,6,,
レザー,レザーグラブ,3,2,200,鉄鉱石,6,翼竜の皮,6,,,,
レザー,レザーグラブ,3,3,300,鉄鉱石,6,不死虫,3,,,,
レザー,レザーグラブ,3,4,400,鉄鉱石,6,翼竜の皮,6,,,,
レザー,レザーグラブ,3,5,500,大地の結晶,10,鉄鉱石,6,,,,
レザー,レザーグラブ,4,1,900,ドラグライト鉱石,4,マカライト鉱石,10,鉄鉱石,9,,
レザー,レザーグラブ,4,2,300,翼竜の皮,12,鉄鉱石,9,,,,
レザー,レザーグラブ,4,3,450,鉄鉱石,9,不死虫,4,,,,
レザー,レザーグラブ,4,4,600,翼竜の皮,12,鉄鉱石,9,,,,
レザー,レザーグラブ,4,5,750,大地の結晶,15,鉄鉱石,9,,,,
レザー,レザーグラブ,5,1,1500,ドラグライト鉱石,6,マカライト鉱石,15,鉄鉱石,12,,
レザー,レザーグラブ,5,2,500,翼竜の皮,24,鉄鉱石,12,,,,
レザー,レザーグラブ,5,3,750,鉄鉱石,12,不死虫,10,,,,
レザー,レザーグラブ,5,4,1000,翼竜の皮,24,鉄鉱石,12,,,,
レザー,レザーグラブ,5,5,1250,大地の結晶,20,鉄鉱石,12,,,,
レザー,レザーグラブ,6,1,3000,ドラグライト鉱石,15,防具精錬材,1,マカライト鉱石,30,鉄鉱石,21
レザー,レザーグラブ,6,2,1000,翼竜の皮,44,鉄鉱石,21,,,,
レザー,レザーグラブ,6,3,1500,鉄鉱石,21,不死虫,20,,,,
レザー,レザーグラブ,6,4,2000,翼竜の皮,44,鉄鉱石,21,,,,
レザー,レザーグラブ,6,5,2500,大地の結晶,30,鉄鉱石,21,,,,
レザー,レザーグラブ,7,1,6000,ドラグライト鉱石,20,防具精錬材,3,マカライト鉱石,40,鉄鉱石,28
レザー,レザーグラブ,7,2,2000,翼竜の皮,50,鉄鉱石,28,,,,
レザー,レザーグラブ,7,3,3000,不死虫,30,鉄鉱石,28,,,,
レザー,レザーグラブ,7,4,4000,翼竜の皮,50,鉄鉱石,28,,,,
レザー,レザーグラブ,7,5,5000,大地の結晶,40,鉄鉱石,28,,,,
レザー,レザーグラブ,8,1,12000,竜玉のかけら,2,ドラグライト鉱石,30,防具精錬材,5,鉄鉱石,35
レザー,レザーグラブ,8,2,4000,翼竜の皮,60,鉄鉱石,35,,,,
レザー,レザーグラブ,8,3,6000,竜玉のかけら,2,マカライト鉱石,50,不死虫,40,鉄鉱石,35
レザー,レザーグラブ,8,4,8000,翼竜の皮,60,鉄鉱石,35,,,,
レザー,レザーグラブ,8,5,10000,竜玉のかけら,2,大地の結晶,2,鉄鉱石,70,,
レザー,レザーグラブ,9,1,30000,竜玉のかけら,3,ドラグライト鉱石,40,防具精錬材,7,鉄鉱石,35
レザー,レザーグラブ,9,2,10000,翼竜の皮,70,鉄鉱石,35,,,,
レザー,レザーグラブ,9,3,15000,竜玉のかけら,3,マカライト鉱石,60,不死虫,50,鉄鉱石,35
レザー,レザーグラブ,9,4,20000,翼竜の皮,70,鉄鉱石,35,,,,
レザー,レザーグラブ,9,5,25000,竜玉のかけら,3,大地の結晶,60,鉄鉱石,105,,
レザー,レザーグラブ,10,1,75000,竜玉のかけら,5,ドラグライト鉱石,50,防具精錬材,9,鉄鉱石,35
レザー,レザーグラブ,10,2,25000,翼竜の皮,80,鉄鉱石,35,,,,
レザー,レザーグラブ,10,3,37500,竜玉のかけら,10,マカライト鉱石,70,不死虫,60,鉄鉱石,35
レザー,レザーグラブ,10,4,50000,翼竜の皮,80,鉄鉱石,35,,,,
レザー,レザーグラブ,10,5,62500,竜玉のかけら,15,大地の結晶,70,鉄鉱石,140,,
レザー,レザーベルト,1,1,0,,,,,,,,
レザー,レザーベルト,1,2,20,鉄鉱石,2,,,,,,
レザー,レザーベルト,1,3,30,鉄鉱石,2,,,,,,
レザー,レザーベルト,1,4,40,鉄鉱石,2,,,,,,
レザー,レザーベルト,1,5,50,鉄鉱石,2,,,,,,
レザー,レザーベルト,2,1,300,鉄鉱石,3,,,,,,
レザー,レザーベルト,2,2,100,鉄鉱石,3,翼竜の皮,2,,,,
レザー,レザーベルト,2,3,150,鉄鉱石,3,不死虫,2,,,,
レザー,レザーベルト,2,4,200,鉄鉱石,3,翼竜の皮,2,,,,
レザー,レザーベルト,2,5,250,大地の結晶,5,鉄鉱石,3,,,,
レザー,レザーベルト,3,1,600,ドラグライト鉱石,3,マカライト鉱石,6,鉄鉱石,6,,
レザー,レザーベルト,3,2,200,鉄鉱石,6,翼竜の皮,6,,,,
レザー,レザーベルト,3,3,300,鉄鉱石,6,不死虫,3,,,,
レザー,レザーベルト,3,4,400,鉄鉱石,6,翼竜の皮,6,,,,
レザー,レザーベルト,3,5,500,大地の結晶,10,鉄鉱石,6,,,,
